gene	disease	inheritance
MMP13	Metaphyseal anadysplasia 1, autosomal dominant;METAPHYSEAL ANADYSPLASIA 1, AUTOSOMAL DOMINANT	
MMP14	Winchester syndrome;WINCHESTER SYNDROME (1 family)	
MMP2	Multicentric osteolysis, nodulosis and arthropathy;Multicentric osteolysis, nodulosis and arthropathy	
MMP20	Amelogenesis imperfecta, hypomaturation type, IIA2;AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA2	Autosomal recessive inheritance
MMP9	Metaphyseal anadysplasia 2, autosomal recessive;METAPHYSEAL ANADYSPLASIA 2, AUTOSOMAL RECESSIVE (1 family)	
MNX1	Currarino triad;CURRARINO SYNDROME	
MOCS1	Molybdenum cofactor deficiency, complementation group A;MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP A	
MOCS2	Molybdenum cofactor deficiency, complementation group B;MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP B	
MOG	Narcolepsy 7;NARCOLEPSY 7 (1 family)	
MOGS	Congenital disorder of glycosylation type 2B;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIb	
MORC2	Charcot-Marie-Tooth disease, axonal, type 2z;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Z	
MPC1	Mitochondrial pyruvate carrier deficiency;MITOCHONDRIAL PYRUVATE CARRIER DEFICIENCY	
MPDU1	Congenital disorder of glycosylation type 1F;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If	
MPDZ	Hydrocephalus, nonsyndromic, autosomal recessive 2;Hydrocephalus, nonsyndromic, autosomal recessive 2	
MPI	Congenital disorder of glycosylation type 1B	
MPL	Congenital amegakaryocytic thrombocytopenia;AMEGAKARYOCYTIC THROMBOCYTOPENIA, CONGENITAL	Autosomal recessive inheritance
MPLKIP	Trichothiodystrophy 1, photosensitive	
MPO	Myeloperoxidase deficiency;MYELOPEROXIDASE DEFICIENCY	
MPV17	Navajo neurohepatopathy;MITOCHONDRIAL DNA DEPLETION SYNDROME 6 (HEPATOCEREBRAL TYPE);MPV17- Related Hepatocerebral Mitochondrial DNA Depletion Syndrome	
MPZ	Charcot-Marie-Tooth disease, demyelinating, type 1b	Autosomal dominant inheritance
MRAP	Glucocorticoid deficiency 2;GLUCOCORTICOID DEFICIENCY 2;Glucocorticoid deficiency 2	
MRE11A	Ataxia-telangiectasia-like disorder;ATAXIA-TELANGIECTASIA-LIKE DISORDER 1	
MRPL3	Combined oxidative phosphorylation deficiency 9;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9	
MRPL44	Combined oxidative phosphorylation deficiency 16;not provided;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 16 (1 family);Not Provided	
MRPS22	Combined oxidative phosphorylation deficiency 5;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5	
MSH2	COLORECTAL CANCER, HEREDITARY, NONPOLYPOSIS, TYPE 1;not provided;Not Provided;Hereditary non-polyposis colon cancer;Colorectal cancer, hereditary, nonpolyposis, type 1;Lynch syndrome;Neoplastic Syndromes, Hereditary;Hereditary cancer-predisposing syndrome;Lynch Syndrome	Autosomal dominant inheritance
MSH3	Endometrial carcinoma;ENDOMETRIAL CANCER, SOMATIC	
MSH6	brain cancer;not provided;Not Provided;colon cancer;Lynch syndrome;Neoplastic Syndromes, Hereditary;Hereditary cancer-predisposing syndrome;Lynch Syndrome	Autosomal dominant inheritance
MSMO1	Microcephaly, congenital cataract, and psoriasiform dermatitis;MICROCEPHALY, CONGENITAL CATARACTS, AND PSORIASIFORM DERMATITIS	
MSR1	Barrett esophagus/esophageal adenocarcinoma;BARRETT ESOPHAGUS/ESOPHAGEAL ADENOCARCINOMA	
MSRB3	Deafness, autosomal recessive 74;DEAFNESS, AUTOSOMAL RECESSIVE 74	
MSX1	Hypoplastic enamel-onycholysis-hypohidrosis syndrome;WITKOP SYNDROME	
MSX2	Craniosynostosis 2;CRANIOSYNOSTOSIS 2	
MT-ATP6	Leigh syndrome;Leigh syndrome	
MT-CO1	Familial colorectal cancer;COLORECTAL CANCER	Autosomal dominant inheritance;Somatic mutation
MT-CO3	Cytochrome-c oxidase deficiency;Leigh syndrome;MITOCHONDRIAL COMPLEX IV DEFICIENCY	Autosomal recessive inheritance;Mitochondrial inheritance
MT-CYB	Exercise intolerance;EXERCISE INTOLERANCE	
MTFMT	amblyopia;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15;cerebral folate deficiency;attention deficit disorder;mitochondrial disorder with lactic acidosis;mitochondrial encephalomyopathy;speech was delayed;hyperflexible ankle joints;Leigh Syndrome;spasticity in upper and lower extremities;small stature;symmetric basal ganglia lesions;exercise intolerance;progressive-generalized dystonia;bilateral striatal necrosis;Leigh syndrome due to mitochondrial complex I deficiency;Combined oxidative phosphorylation deficiency 15;Leigh syndrome;cardiac conduction defect;developmental delay;speech is mildly dysrthric;symmetric frontal white matter (pericallosal) lesions;slow dystonic movements	
MTHFR	Homocysteinemia due to MTHFR deficiency;Homocysteinemia due to MTHFR deficiency	
MTM1	not provided;Myotubular myopathy, X-linked;Severe X-linked myotubular myopathy	X-linked inheritance
MTMR2	Charcot-Marie-Tooth disease, type 4B1;CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B1	
MT-ND1	Lebers optic atrophy;LEBER OPTIC ATROPHY;Leber Hereditary Optic Neuropathy	Mitochondrial inheritance
MT-ND4	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke;MELAS SYNDROME	
MT-ND5	Lebers optic atrophy;LEBER OPTIC ATROPHY;Leber Hereditary Optic Neuropathy	Mitochondrial inheritance
MT-ND6	Leber hereditary optic neuropathy with dystonia;Lebers optic atrophy;LEBER OPTIC ATROPHY AND DYSTONIA;Leber Hereditary Optic Neuropathy	Mitochondrial inheritance
MTO1	Combined oxidative phosphorylation deficiency 10;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 10	
MTOR	Smith-Kingsmore syndrome	
MTPAP	Ataxia, spastic, 4, autosomal recessive;SPASTIC ATAXIA 4, AUTOSOMAL RECESSIVE (1 family)	
MTR	Gastrointestinal (child onset);Profound Intellectual disability;Intellectual disability, profound;Metabolic/ Biochemical (child onset);Brain MRI positive;HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblG COMPLEMENTATION TYPE;Craniofacial (child onset);Seizures/Epilepsy;Neurologic (child onset);Seizure disorder;Inborn genetic diseases;METHYLCOBALAMIN DEFICIENCY, cblG TYPE	
MTRR	Gastrointestinal (child onset);Multiple congenital anomalies;Homocystinuria-Megaloblastic anemia due to defect in cobalamin metabolism, cblE complementation type;Cardiovascular (child onset);Craniofacial (child onset);MR/ID/DD;Metabolic/ Biochemical (child onset);HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblE COMPLEMENTATION TYPE;Psychiatric;Hematologic (child onset);Brain MRI positive;Ophthalmologic (child onset);Neurologic (child onset);ASD;Ataxia;Inborn genetic diseases	
MT-TA	Mitochondrial myopathy;MITOCHONDRIAL MYOPATHY	
MT-TE	Mitochondrial myopathy, infantile, transient;MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT	
MT-TF	Nephropathy, tubulointerstitial;NEPHROPATHY, TUBULOINTERSTITIAL	
MT-TG	Primary familial hypertrophic cardiomyopathy;CARDIOMYOPATHY, HYPERTROPHIC	Autosomal dominant inheritance
MT-TI	Cardiomyopathy, fatal infantile;CARDIOMYOPATHY, FATAL INFANTILE	
MT-TK	MERRF/MELAS overlap syndrome;Myoclonus with epilepsy with ragged red fibers;MERRF SYNDROME	Mitochondrial inheritance
MTTP	Abetalipoproteinaemia;ABETALIPOPROTEINEMIA	
MT-TP	Myopathy;MYOPATHY	
MT-TV	Ataxia, progressive seizures, mental deterioration, and hearing loss;ATAXIA, PROGRESSIVE SEIZURES, MENTAL DETERIORATION, AND HEARING LOSS	
MT-TW	ENCEPHALOPATHY, MITOCHONDRIAL;Leigh syndrome;Encephalopathy, mitochondrial	
MT-TY	Exercise intolerance and complex III deficiency, somatic;EXERCISE INTOLERANCE AND COMPLEX III DEFICIENCY, SOMATIC	
MUC3A	Hypertrichotic osteochondrodysplasia;Hypertrichosis;Intellectual disability;Abnormality of the aorta	
MUSK	Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency;MYASTHENIC SYNDROME, CONGENITAL, 9, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY	
MUT	Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency	Autosomal recessive inheritance
MUTYH	Carcinoma of colon;Carcinoma of colon	Somatic mutation
MVD	Porokeratosis 7, multiple types;POROKERATOSIS 7, MULTIPLE TYPES	
MVK	Hyperimmunoglobulin D with periodic fever;HYPER-IgD SYNDROME	
MXI1	Malignant tumor of prostate;PROSTATE CANCER	
MYBPC1	Distal arthrogryposis type 1B;ARTHROGRYPOSIS, DISTAL, TYPE 1B	
MYBPC3	Cardiomyopathy;Cardiomyopathy	
MYC	Burkitt lymphoma;BURKITT LYMPHOMA	
MYCN	Feingold syndrome 1;FEINGOLD SYNDROME	
MYD88	Macroglobulinemia, waldenstrom, somatic;MACROGLOBULINEMIA, WALDENSTROM, SOMATIC	
MYF6	Myopathy, centronuclear, 3;MYOPATHY, CENTRONUCLEAR, 3	
MYH10	Inborn genetic diseases;MR/ID/DD;Brain MRI positive;Craniofacial (child onset);Gastrointestinal (child onset);Musculoskeletal/Structural (child onset);Neurologic (child onset);Ophthalmologic (child onset)	
MYH11	Aortic aneurysm, familial thoracic 4;Aortic aneurysm, familial thoracic 4	Autosomal dominant inheritance
MYH14	Deafness, autosomal dominant 4;DEAFNESS, AUTOSOMAL DOMINANT 4A	
MYH3	Distal arthrogryposis type 2B;ARTHROGRYPOSIS, DISTAL, TYPE 2B	Autosomal dominant inheritance
MYH6	Atrial septal defect 3;ATRIAL SEPTAL DEFECT 3	
MYH7	Cardiomyopathy	
MYH9	MAY-HEGGLIN ANOMALY;May-Hegglin anomaly;Fechtner syndrome	
MYL2	Cardiomyopathy, hypertrophic;Primary familial hypertrophic cardiomyopathy;not specified;Not specified;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10;Familial hypertrophic cardiomyopathy 10	Autosomal dominant inheritance
MYL3	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8;Hypertrophic cardiomyopathy;Hypertrophic Cardiomyopathy;Not Provided;not provided;Familial hypertrophic cardiomyopathy 8	Autosomal dominant inheritance
MYLK	AORTIC ANEURYSM, FAMILIAL THORACIC 7;Not Provided;Aortic aneurysm, familial thoracic 7;not provided	Autosomal dominant inheritance
MYLK2	Cardiomyopathy, hypertrophic, midventricular, digenic;CARDIOMYOPATHY, HYPERTROPHIC, MIDVENTRICULAR, DIGENIC	Autosomal recessive inheritance
MYO15A	Deafness, autosomal recessive 3	
MYO18B	Klippel-feil syndrome 4, autosomal recessive, with nemaline myopathy and facial dysmorphism;KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM	
MYO1E	Focal segmental glomerulosclerosis 6;FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6	
MYO3A	Deafness, autosomal recessive 30;DEAFNESS, AUTOSOMAL RECESSIVE 30	
MYO5B	Congenital microvillous atrophy;Congenital microvillous atrophy	
MYO6	Deafness, autosomal dominant 22	
MYO7A	Deafness, autosomal dominant 11;DEAFNESS, AUTOSOMAL DOMINANT 11	
MYOC	Glaucoma 1, open angle, a, autosomal recessive;GLAUCOMA 1, OPEN ANGLE, A, AUTOSOMAL RECESSIVE	
MYOT	Limb-girdle muscular dystrophy, type 1A;MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1A	Autosomal dominant inheritance
MYOZ2	not specified;Familial hypertrophic cardiomyopathy 16;not provided;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16	
MYPN	CARDIOMYOPATHY, DILATED, 1KK;Familial hypertrophic cardiomyopathy 22;Primary dilated cardiomyopathy;not specified;not provided;Not specified;Dilated cardiomyopathy;Dilated cardiomyopathy 1KK;Cardiomyopathy, dilated	Autosomal dominant inheritance
MYT1L	Mental retardation, autosomal dominant 39;MENTAL RETARDATION, AUTOSOMAL DOMINANT 39	
NAA10	Cardiovascular (child onset);MR/ID/DD;N-terminal acetyltransferase deficiency;Craniofacial (child onset);Brain MRI positive;Neurologic (child onset);Inborn genetic diseases;Musculoskeletal/Structural (child onset)	
NADK2	2,4-Dienoyl-CoA reductase deficiency;2,4-@DIENOYL-CoA REDUCTASE DEFICIENCY (1 family)	
NAGA	Kanzaki disease;KANZAKI DISEASE	
NAGLU	Charcot-Marie-Tooth disease, axonal type 2V;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2V (1 family)	
NALCN	Congenital contractures of the limbs and face, hypotonia, and developmental delay	
NANOS1	Spermatogenic failure 12;SPERMATOGENIC FAILURE 12	
NARS2	Combined oxidative phosphorylation deficiency 24;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24	
NBAS	Infantile liver failure syndrome 2;Early onset osteoporosis;Developmental delay	
NBEAL2	Gray platelet syndrome;GRAY PLATELET SYNDROME	
NBN	Hereditary cancer-predisposing syndrome;Microcephaly, normal intelligence and immunodeficiency;Neoplastic Syndromes, Hereditary	Autosomal dominant inheritance
NCF1	Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 1;GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE I	
NCF2	Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2;Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2	
NCF4	Chronic granulomatous disease	
NCSTN	Familial acne inversa 1;ACNE INVERSA, FAMILIAL, 1	
NDE1	Lissencephaly 4;Lissencephaly 4	
NDP	Atrophia bulborum hereditaria;NORRIE DISEASE	
NDRG1	Charcot-Marie-Tooth disease, type 4D;CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D;Charcot-Marie-Tooth Neuropathy Type 4	
NDST1	Mental retardation, autosomal recessive 46;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 46	
NDUFA1	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFA10	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY (1 patient)	
NDUFA11	not provided;Not Provided	
NDUFA12	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFA13	Hurthle cell carcinoma of thyroid;THYROID CARCINOMA, HURTHLE CELL	
NDUFA9	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF1	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF2	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF3	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF4	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF5	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFAF6	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY (1 family)	
NDUFB11	Linear skin defects with multiple congenital anomalies 3;LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3	
NDUFB3	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS1	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS2	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS3	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS4	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS6	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS7	Leigh syndrome due to mitochondrial complex I deficiency;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFS8	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NDUFV1	Mitochondrial complex I deficiency;MITOCHONDRIAL COMPLEX I DEFICIENCY	
NEB	Nemaline myopathy 2, autosomal recessive;Nemaline myopathy 2, autosomal recessive	
NECAP1	Early infantile epileptic encephalopathy 21;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 21 (1 family);Early infantile epileptic encephalopathy	
NECTIN1	Cleft lip/palate-ectodermal dysplasia syndrome;CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME	
NECTIN4	Ectodermal dysplasia-syndactyly syndrome 1;ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 1	
NEFH	Charcot-Marie-Tooth disease, axonal, type 2CC;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2CC	
NEFL	Charcot-Marie-Tooth disease, demyelinating, type 1f;CHARCOT-MARIE-TOOTH DISEASE, TYPE 1F	
NEK1	Short rib-polydactyly syndrome, Majewski type;Short rib-polydactyly syndrome, Majewski type	
NEK2	Retinitis pigmentosa 67;RETINITIS PIGMENTOSA 67 (1 patient)	
NEK8	Nephronophthisis 9;NEPHRONOPHTHISIS 9	
NEK9	Arthrogryposis, perthes disease, and upward gaze palsy;ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY (1 family)	
NEU1	not provided;SIALIDOSIS, TYPE I;Sialidosis type I	
NEUROD1	Diabetes mellitus type 2;DIABETES MELLITUS, TYPE II	
NEUROG3	Diarrhea 4, malabsorptive, congenital;DIARRHEA 4, MALABSORPTIVE, CONGENITAL	
NEXN	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 20;not specified;Not specified;Familial hypertrophic cardiomyopathy 20;Primary familial hypertrophic cardiomyopathy	Autosomal dominant inheritance
NF1	Hereditary cancer-predisposing syndrome;Neoplastic Syndromes, Hereditary	Autosomal dominant inheritance
NF2	Meningioma;MENINGIOMA, SOMATIC	
NFIX	Inborn genetic diseases;MR/ID/DD;Craniofacial (child onset);Metabolic/ Biochemical (child onset);Musculoskeletal/Structural (child onset);Pulmonary (child onset)	
NFKB1	Immunodeficiency, common variable, 12;IMMUNODEFICIENCY, COMMON VARIABLE, 12	
NFKB2	Common variable immunodeficiency 10;Combined variable immunodeficiency (CVID) with pituitary insufficiency (ACTH deficiency, sometimes with growth hormone or thyroid hormone deficiency);IMMUNODEFICIENCY, COMMON VARIABLE, 10	
NFKBIA	Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency, autosomal dominant;ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH T-CELL IMMUNODEFICIENCY, AUTOSOMAL DOMINANT	
NFU1	Multiple mitochondrial dysfunctions syndrome 1;MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1	
NGF	Congenital sensory neuropathy with selective loss of small myelinated fibers;NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE V	
NGLY1	Congenital disorder of deglycosylation;CONGENITAL DISORDER OF DEGLYCOSYLATION	
NHEJ1	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation;SEVERE COMBINED IMMUNODEFICIENCY WITH MICROCEPHALY, GROWTH RETARDATION, AND SENSITIVITY TO IONIZING RADIATION	
NHLRC1	Epilepsy, progressive myoclonic 2b;EPILEPSY, PROGRESSIVE MYOCLONIC, 2B	
NHP2	Dyskeratosis congenita, autosomal recessive 2;Dyskeratosis congenita autosomal recessive 1;DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2;Dyskeratosis Congenita	Autosomal recessive inheritance
NHS	Congenital cataract	
NIN	Seckel syndrome 7;Seckel syndrome 7	
NIPA1	Spastic paraplegia 6;SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT	
NIPAL4	Autosomal recessive congenital ichthyosis 6;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 6	
NIPBL	Cornelia de Lange syndrome 1;Cornelia de Lange syndrome 1	Autosomal dominant inheritance
NKX2-1	Benign hereditary chorea;CHOREA, BENIGN HEREDITARY	Autosomal dominant inheritance
NKX2-5	Atrial septal defect 7 with or without atrioventricular conduction defects;ATRIAL SEPTAL DEFECT 7 WITH ATRIOVENTRICULAR CONDUCTION DEFECTS	Autosomal dominant inheritance
NKX2-6	Conotruncal heart malformations;CONOTRUNCAL HEART MALFORMATIONS	
NLRC4	Autoinflammation with infantile enterocolitis;AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS	
NLRP1	Corneal intraepithelial dyskeratosis and ectodermal dysplasia;CORNEAL INTRAEPITHELIAL DYSKERATOSIS AND ECTODERMAL DYSPLASIA (1 family)	
NLRP12	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 2;not provided;Familial cold autoinflammatory syndrome 2	
NLRP3	Chronic infantile neurological, cutaneous and articular syndrome;Familial cold urticaria;CINCA SYNDROME	Autosomal dominant inheritance
NLRP7	Hydatidiform mole;Hydatidiform mole;Hydatidiform molar pregnancy	
NME8	Ciliary dyskinesia, primary, 6;CILIARY DYSKINESIA, PRIMARY, 6;Primary Ciliary Dyskinesia	
NMNAT1	Leber congenital amaurosis 9;LEBER CONGENITAL AMAUROSIS 9	
NNT	Glucocorticoid deficiency 4	
NOBOX	Premature ovarian failure 5;PREMATURE OVARIAN FAILURE 5	
NOD2	Blau syndrome;BLAU SYNDROME;Sarcoidosis, early-onset	
NODAL	HETEROTAXY, VISCERAL, 5, AUTOSOMAL;not provided;Visceral heterotaxy 5, autosomal	
NOG	Brachydactyly type B2;BRACHYDACTYLY, TYPE B2	
NOL3	Myoclonus, familial cortical;MYOCLONUS, FAMILIAL CORTICAL	
NONO	Mental retardation, X-linked, syndromic 34	
NOP10	Dyskeratosis congenita autosomal recessive 1;DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1;Dyskeratosis Congenita	Autosomal recessive inheritance
NOS3	Hypertension resistant to conventional therapy;Ischemic heart disease, susceptibility to;Hypertension, pregnancy-induced, susceptibility to;Ischemic stroke, susceptibility to;Alzheimer disease, late-onset, susceptibility to;CORONARY ARTERY SPASM 1, SUSCEPTIBILITY TO;Coronary artery spasm 1, susceptibility to	
NOTCH1	Adams-Oliver syndrome 5	
NOTCH2	Alagille syndrome 2;Alagille Syndrome	
NOTCH3	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	Autosomal dominant inheritance
NPC1	Niemann-Pick disease type C1	
NPC2	Niemann-Pick disease type C2	
NPHP1	Nephronophthisis 1;NEPHRONOPHTHISIS 1	Autosomal recessive inheritance
NPHP4	Cerebello-oculo-renal syndrome (nephronophthisis, oculomotor apraxia and cerebellar abnormalities);Nephronophthisis 4;Infertility;NEPHRONOPHTHISIS 4	Autosomal recessive inheritance
NPHS1	Finnish congenital nephrotic syndrome;Finnish congenital nephrotic syndrome	
NPHS2	Nephrotic syndrome, idiopathic, steroid-resistant	
NPM1	Acute myeloid leukemia;LEUKEMIA, ACUTE MYELOID, SOMATIC	Autosomal dominant inheritance;Somatic mutation
NPR2	Acromesomelic dysplasia Maroteaux type;ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE	Autosomal recessive inheritance
NR0B1	Congenital adrenal hypoplasia, X-linked;ADRENAL HYPOPLASIA, CONGENITAL	
NR1H3	Multiple sclerosis	
NR2E3	Enhanced s-cone syndrome;ENHANCED S-CONE SYNDROME	Autosomal recessive inheritance
NR2F1	Bosch-Boonstra-Schaaf optic atrophy syndrome;BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME	
NR2F2	Congenital heart defects, multiple types, 4;CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4	
NR3C1	Glucocorticoid resistance, cellular;GLUCOCORTICOID RESISTANCE, CELLULAR	
NR3C2	Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy;HYPERTENSION, EARLY-ONSET, AUTOSOMAL DOMINANT, WITH EXACERBATION IN PREGNANCY	
NR5A1	46,XY SEX REVERSAL 3;46,XY sex reversal, type 3;Premature ovarian failure 7	
NRAS	Epidermal nevus;EPIDERMAL NEVUS, SOMATIC;Noonan syndrome 1	Autosomal dominant inheritance
NRL	Retinal degeneration, autosomal recessive, clumped pigment type;RETINAL DEGENERATION, AUTOSOMAL RECESSIVE, CLUMPED PIGMENT TYPE	
NRXN1	not provided;not provided	
NSD1	Beckwith-Wiedemann syndrome	
NSDHL	Child syndrome;CHILD SYNDROME;NSDHL-Related Disorders	X-linked inheritance
NSUN2	Mental retardation, autosomal recessive 5;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5	
NT5C2	Spastic paraplegia 45, autosomal recessive;SPASTIC PARAPLEGIA 45	
NT5C3A	Uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to;HEMOLYTIC ANEMIA DUE TO UMPH1 DEFICIENCY	
NT5E	Calcification of joints and arteries;CALCIFICATION OF JOINTS AND ARTERIES	
NTF4	Glaucoma 1, open angle, O;GLAUCOMA 1, OPEN ANGLE, O	
NTHL1	Familial adenomatous polyposis 3;FAMILIAL ADENOMATOUS POLYPOSIS 3	
NTRK1	Cardiovascular (child onset);Dermatologic (child onset);Neurologic (child onset);Hereditary Sensory and Autonomic Neuropathy Type IV;Inborn genetic diseases;Hereditary insensitivity to pain with anhidrosis	
NTRK2	Obesity, hyperphagia, and developmental delay;OBESITY, HYPERPHAGIA, AND DEVELOPMENTAL DELAY (1 patient)	
NUBPL	Ataxia;Mitochondrial complex I deficiency;MR/ID/DD;Musculoskeletal/Structural (child onset);Inborn genetic diseases	
NUP107	Nephrotic syndrome, type 11;NEPHROTIC SYNDROME, TYPE 11	
NUP155	Atrial fibrillation, familial, 15;ATRIAL FIBRILLATION 15 (1 family)	
NUP205	Nephrotic syndrome, type 13;NEPHROTIC SYNDROME, TYPE 13 (1 family)	
NUP93	Nephrotic syndrome, type 12;NEPHROTIC SYNDROME, TYPE 12	
NYX	Congenital stationary night blindness, type 1A;NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1A	
OAT	Gyrate atrophy of choroid and retina with pyridoxine-responsive ornithinemia;GYRATE ATROPHY OF CHOROID AND RETINA WITH PYRIDOXINE-RESPONSIVE ORNITHINEMIA	
OBSCN	Inborn genetic diseases;MR/ID/DD;Brain MRI positive;Craniofacial (child onset);Neurologic (child onset);Ophthalmologic (child onset)	
OBSL1	Three M syndrome 2;THREE M SYNDROME 2	
OCA2	Tyrosinase-positive oculocutaneous albinism;Albinism, oculocutaneous, type II	
OCLN	Band-like calcification with simplified gyration and polymicrogyria;Band-like calcification with simplified gyration and polymicrogyria	Autosomal recessive inheritance
OCRL	Dent disease 2;DENT DISEASE 2;Dent disease 2	X-linked recessive inheritance
OFD1	Inborn genetic diseases;Multiple congenital anomalies;MR/ID/DD;Craniofacial (child onset);Musculoskeletal/Structural (child onset)	
OGG1	Clear cell carcinoma of kidney;RENAL CELL CARCINOMA, CLEAR CELL, SOMATIC	
OPA1	Abortive cerebellar ataxia;BEHR SYNDROME	
